runtime,score
wasmtime.cranelift,31348
wasmer.cranelift,30499
v8,26907
wasmtime.winch,12930
wasmer.singlepass,12244
wasmi-v2.eager.checked,2822
wasm3.eager,2805
stitch,2193
wasmi-v1.eager.checked,1920
wasmtime.pulley,1701
wasmi-v0.32,1661
wamr,1428
tinywasm,924
wasmi-v0.31,878
fizzy,857
spacewasm,432
wasmedge,311
toywasm,253
