runtime,score
wasmtime.cranelift,23186
wasmer.cranelift,22631
v8,21222
wasmtime.winch,11765
wasmer.singlepass,9269
wasmi-v2.eager.checked,1615
stitch,1335
wamr,1277
wasmtime.pulley,1139
wasm3.eager,1131
wasmi-v1.eager.checked,1076
wasmi-v0.32,850
tinywasm,570
wasmi-v0.31,454
fizzy,388
spacewasm,247
wasmedge,159
toywasm,70
